booking_date,arrival_date,departure_date,length_of_stay,num_guests,room_type,guest_type,purpose_of_visit,loyalty_program,previous_cancellations,reservation_status,deposit_type,total_cost,payment_method,hotel_type,number_of_rooms,facilities,lead_time,seasonality,cancellation_date,reason_for_cancellation,lead_time_at_cancellation,guest_age,guest_nationality,property_rating,distance_to_attractions,day_of_week,time_of_day_booking,time_of_day_cancellation,gdp,inflation_rate,presence_of_event,event_date,temperature,precipitation,competitor_price
2024-04-13,2024-05-13,2024-05-20,7,3,single,group,other,False,4.581824095774227,['cancelled'],credit_card,11580.096192697463,cash,motel,3,['wifi'],30,May,,,,55,KIR,5,1.9745467567398842,Monday,01:05:28,16:58:24,7859.573041353173,0.08720831257748939,False,2024-04-24,13.500095199043972,none,11580.096192697463
2024-03-26,2024-04-25,2024-04-26,1,2,suite,group,leisure,False,6.608438754915507,['checkout'],no_deposit,9255.58642843422,cash,city hotel,1,"['gym', 'gym']",30,April,,,,48,CHL,3,5.2639766892031075,Thursday,04:40:21,07:51:32,8481.35638222328,0.023802130919759308,True,2024-05-16,40.24011450156841,heavy,9255.58642843422
2024-03-27,2024-04-05,2024-04-13,8,2,suite,individual,leisure,False,16.392712554828094,['checkout'],no_deposit,936.6753597724447,credit_card,city hotel,1,['restaurant'],9,April,,,,77,MYS,5,5.691757886032069,Friday,01:01:58,14:06:48,5289.358269268571,0.0568890186789628,False,2024-05-09,0.6065077465828033,heavy,936.6753597724447
2024-04-13,2024-04-28,2024-05-05,7,1,single,corporate,business,True,14.51881627996308,['cancelled'],cash,770.4848669759317,cash,motel,1,['wifi'],15,April,,,,62,LCA,2,5.278291948376416,Sunday,00:10:06,22:57:23,9613.025193461051,0.05485148084842657,True,2024-04-23,6.350436602446404,heavy,770.4848669759317
2024-04-05,2024-04-22,2024-04-25,3,3,suite,individual,business,False,9.755509689112001,['cancelled'],cash,7076.047074270386,credit_card,city hotel,1,"['business center', 'gym', 'restaurant']",17,April,2024-04-13,change of plans,8.0,48,NZL,1,0.8565489696400977,Monday,08:38:00,08:14:17,3639.384002182088,0.040356698959431614,False,2024-04-22,27.215558500099647,none,7076.047074270386
2024-04-08,2024-04-21,2024-04-22,1,3,double,group,leisure,True,5.891029609387544,['cancelled'],no_deposit,4129.298709748267,debit_card,resort,3,"['kids club', 'gym']",13,April,2024-04-17,change of plans,9.0,44,MLI,4,0.173681557767092,Sunday,17:50:43,09:32:09,1939.1379433157704,0.04196592559968527,True,2024-04-29,16.458199376007844,moderate,4129.298709748267
2024-04-01,2024-04-14,2024-04-20,6,2,double,corporate,business,True,3.664642108214391,['checkout'],no_deposit,11138.864370591202,cash,resort,2,"['restaurant', 'restaurant', 'kids club', 'spa', 'spa']",13,April,,,,71,SVN,2,0.7752671363397019,Sunday,01:05:48,22:33:16,9045.462423855042,0.03090839965274697,True,2024-04-27,-1.0982493607936377,light,11138.864370591202
2024-04-12,2024-04-30,2024-05-01,1,3,single,group,business,True,15.859373052879565,['checkout'],cash,10647.727988120008,credit_card,resort,3,"['restaurant', 'spa', 'pool', 'kids club', 'gym']",18,April,,,,41,TWN,3,4.77916335689742,Tuesday,04:25:50,00:38:36,6034.773308390996,0.020695465968778665,False,2024-05-18,29.08745337985704,heavy,10647.727988120008
2024-04-02,2024-04-19,2024-04-22,3,1,suite,individual,business,False,12.618715565145003,['checkout'],cash,11236.15934211728,credit_card,city hotel,1,"['restaurant', 'restaurant']",17,April,,,,65,TON,2,8.959691219566569,Friday,17:03:26,22:09:59,9653.497301400717,0.09218732363291629,False,2024-05-04,36.711463826767556,moderate,11236.15934211728
2024-04-03,2024-04-12,2024-04-21,9,2,single,group,business,False,5.95560950852934,['checkout'],credit_card,3941.6937179737292,cash,city hotel,2,['gym'],9,April,,,,22,RWA,2,3.3861183544206415,Friday,05:29:08,11:20:20,1568.7065884943968,0.08307018733867409,False,2024-05-01,18.45295287228615,light,3941.6937179737292
2024-03-24,2024-04-19,2024-04-29,10,2,double,individual,leisure,False,8.852101060090028,['cancelled'],cash,9889.611047146429,cash,city hotel,2,['gym'],26,April,,,,64,BRB,5,1.933272209215716,Friday,03:40:02,17:29:31,5175.210576677246,0.019672654746141868,False,2024-05-03,14.299078953651321,light,9889.611047146429
2024-04-06,2024-04-30,2024-05-07,7,1,suite,corporate,business,False,7.1470636869960185,['checkout'],credit_card,19274.10699999082,credit_card,resort,1,['restaurant'],24,April,2024-04-07,unforeseen circumstances,1.0,53,BGD,3,2.714006989039211,Tuesday,09:20:19,05:01:36,7709.0892815689995,0.04095801779754417,False,2024-05-17,-9.106348504184025,light,19274.10699999082
2024-04-08,2024-04-15,2024-04-18,3,1,suite,individual,business,True,13.928314123686507,['cancelled'],credit_card,16885.683531712148,credit_card,motel,1,"['wifi', 'parking']",7,April,,,,35,UKR,1,8.129601687247126,Monday,10:51:41,19:27:35,7001.162727402084,0.08467535854299724,True,2024-05-11,-2.1408637798484147,none,16885.683531712148
2024-04-10,2024-05-05,2024-05-11,6,3,double,group,business,False,7.012800605850742,['cancelled'],cash,11179.688845846247,credit_card,city hotel,3,['restaurant'],25,May,,,,72,BLZ,5,2.549005271803915,Sunday,03:12:11,12:58:59,1113.325890734893,0.0775080158070356,False,2024-05-20,-9.682126174682981,light,11179.688845846247
2024-03-30,2024-04-21,2024-04-24,3,3,double,corporate,business,True,18.05194191878464,['checkout'],cash,17664.230508684923,debit_card,motel,3,['wifi'],22,April,,,,40,CAF,3,0.9788144240176814,Sunday,21:37:33,00:49:12,7542.256390297298,0.06552913995235649,True,2024-04-29,14.65475310368269,light,17664.230508684923
2024-04-08,2024-04-09,2024-04-14,5,2,suite,group,other,True,4.027171761190951,['cancelled'],credit_card,4113.500961330463,cash,city hotel,1,"['restaurant', 'gym']",1,April,,,,29,GIN,3,0.3878639321089826,Tuesday,08:03:26,13:47:13,4651.365685249761,0.03674797926607588,True,2024-05-19,41.91632626042402,none,4113.500961330463
2024-04-05,2024-04-18,2024-04-19,1,4,suite,group,leisure,False,2.3840599092784154,['cancelled'],credit_card,5410.379219301928,debit_card,resort,2,['spa'],13,April,,,,39,MMR,4,5.628232807551019,Thursday,01:59:00,16:35:15,2589.470877335347,0.09125455999886858,False,2024-04-28,23.938209560414776,light,5410.379219301928
2024-03-28,2024-04-03,2024-04-13,10,2,single,group,business,False,15.970788338434234,['cancelled'],cash,17662.657672005225,debit_card,motel,2,"['wifi', 'parking']",6,April,,,,51,MUS,3,9.117075871071055,Wednesday,14:46:12,04:44:32,9735.244125998595,0.053638225391323784,True,2024-05-21,16.793439098541356,moderate,17662.657672005225
2024-04-20,2024-05-02,2024-05-04,2,3,suite,corporate,business,True,12.188304141771678,['checkout'],credit_card,9381.232596259004,credit_card,city hotel,1,['gym'],12,May,2024-04-29,change of plans,9.0,80,IRN,1,8.556547538629639,Thursday,17:19:55,19:12:56,5378.306021124282,0.06829039553395666,True,2024-04-25,13.755336483809135,moderate,9381.232596259004
2024-04-18,2024-04-23,2024-04-25,2,2,suite,group,business,False,6.314378265140064,['cancelled'],no_deposit,7633.300783986048,cash,motel,1,['wifi'],5,April,2024-04-20,financial reasons,2.0,78,BIH,2,6.698458245362899,Tuesday,21:22:19,14:38:26,9721.414195058127,0.05367666298552645,False,2024-04-29,-2.498418555003571,none,7633.300783986048
2024-03-27,2024-03-29,2024-04-05,7,2,double,group,other,True,0.23840346855498185,['cancelled'],no_deposit,8268.623780009402,credit_card,motel,2,['wifi'],2,March,2024-04-06,change of plans,10.0,50,TGO,1,1.630036341592566,Friday,23:13:06,18:16:40,8180.243851190996,0.09248451097677195,True,2024-04-28,-2.723694133874206,light,8268.623780009402
2024-04-15,2024-04-20,2024-04-23,3,4,double,corporate,business,False,13.360585247303685,['cancelled'],credit_card,12086.393250733601,cash,motel,4,"['wifi', 'wifi']",5,April,2024-04-21,unforeseen circumstances,6.0,57,SDN,2,3.2461791559669577,Saturday,02:57:55,09:45:34,7937.685875063581,0.011455367358471743,False,2024-05-01,17.523234159657285,heavy,12086.393250733601
2024-04-11,2024-04-25,2024-04-27,2,4,suite,group,leisure,False,6.040685730000046,['cancelled'],cash,14298.918463898282,credit_card,motel,2,"['parking', 'wifi']",14,April,2024-04-12,unforeseen circumstances,1.0,62,TUV,2,8.430980423189238,Thursday,21:08:44,01:08:16,4128.126521285278,0.04377082368679492,False,2024-04-24,28.454931467700078,light,14298.918463898282
2024-04-10,2024-05-08,2024-05-11,3,1,suite,individual,business,False,1.208555812765717,['checkout'],credit_card,11321.648427134125,credit_card,resort,1,"['pool', 'kids club', 'restaurant', 'kids club', 'gym']",28,May,,,,50,JPN,2,2.2112528475638893,Wednesday,21:02:10,19:58:09,4694.194183602107,0.04987436209846912,True,2024-04-27,35.05215179850995,heavy,11321.648427134125
2024-03-23,2024-03-27,2024-04-06,10,4,double,group,leisure,True,1.9171883418112357,['checkout'],no_deposit,13780.49174210597,debit_card,city hotel,4,['business center'],4,March,,,,19,HND,5,0.6472876392111464,Wednesday,23:16:19,03:03:55,1258.1743567708568,0.07312882879210225,False,2024-05-07,3.312664525675382,light,13780.49174210597
2024-04-05,2024-05-05,2024-05-07,2,4,double,individual,leisure,True,2.085389649724756,['cancelled'],no_deposit,8591.47001756193,cash,motel,4,"['parking', 'parking']",30,May,,,,75,TCD,2,3.54149190134546,Sunday,08:42:21,22:08:04,8307.730738904993,0.03265293923307093,True,2024-05-16,17.538350168641106,light,8591.47001756193
2024-03-25,2024-04-01,2024-04-04,3,3,single,individual,leisure,True,3.2622896036403137,['checkout'],no_deposit,5375.94975088848,cash,motel,3,['parking'],7,April,,,,80,TZA,5,8.272253836648357,Monday,09:53:35,16:14:57,3563.1797552892085,0.07852677050709057,False,2024-04-30,40.477096744675215,light,5375.94975088848
2024-04-05,2024-04-15,2024-04-18,3,4,single,corporate,business,True,14.384343792116551,['cancelled'],no_deposit,18687.903133467982,cash,city hotel,4,"['gym', 'gym']",10,April,2024-04-06,change of plans,1.0,18,MMR,5,0.21926272615914005,Monday,07:38:34,23:00:14,8025.688938224588,0.08117896473874009,True,2024-04-22,22.114489208721523,heavy,18687.903133467982
2024-04-06,2024-04-21,2024-04-27,6,1,single,corporate,business,True,12.060038780842913,['cancelled'],credit_card,19817.805026883907,debit_card,motel,1,['parking'],15,April,,,,50,COG,1,0.16850823514776503,Sunday,14:12:31,14:16:11,1820.4818479550374,0.04223147499488447,True,2024-05-07,37.36792253553696,heavy,19817.805026883907
2024-04-08,2024-04-22,2024-04-30,8,4,double,individual,business,True,17.72959749852008,['cancelled'],no_deposit,8013.387108679865,debit_card,resort,4,"['gym', 'gym', 'gym']",14,April,,,,71,EGY,3,1.1686511024756339,Monday,03:52:08,07:31:59,4740.206617652856,0.06000271838399887,False,2024-04-28,2.590552999894962,none,8013.387108679865
2024-04-19,2024-05-17,2024-05-21,4,4,double,group,leisure,True,8.590037680427614,['cancelled'],no_deposit,19531.14883690442,cash,city hotel,4,"['business center', 'restaurant', 'gym']",28,May,,,,47,UKR,1,7.738954559681809,Friday,09:28:08,14:09:51,7618.878073150075,0.07412684417808549,False,2024-05-15,7.22114407820246,heavy,19531.14883690442
2024-04-02,2024-04-21,2024-04-26,5,2,suite,group,leisure,True,17.272160245848,['checkout'],no_deposit,8586.564836624173,credit_card,motel,1,"['parking', 'wifi']",19,April,,,,34,DEU,5,2.5284519516413853,Sunday,12:49:19,09:11:20,8569.91904245077,0.04681893493187337,True,2024-05-01,28.45367862172742,none,8586.564836624173
2024-04-02,2024-04-15,2024-04-25,10,4,suite,corporate,business,False,18.21030953586298,['cancelled'],credit_card,3186.8123752066163,debit_card,city hotel,2,"['gym', 'business center']",13,April,,,,58,CRI,4,9.82327312997348,Monday,08:13:15,12:29:42,6008.423522829393,0.08536387392045347,True,2024-04-24,-6.790425052443361,heavy,3186.8123752066163
2024-04-03,2024-04-07,2024-04-13,6,3,suite,individual,other,True,18.204509850994054,['cancelled'],credit_card,10189.55667447977,cash,city hotel,1,['gym'],4,April,,,,42,AUT,3,9.907485533316796,Sunday,22:55:15,03:10:03,9678.41141357631,0.08358032819661315,True,2024-04-28,39.83399586402561,light,10189.55667447977
2024-04-03,2024-04-14,2024-04-18,4,4,suite,individual,other,False,8.4078782658773,['checkout'],credit_card,9131.201415048085,cash,motel,2,['parking'],11,April,2024-04-13,financial reasons,10.0,48,BWA,2,6.767051004143237,Sunday,00:02:08,17:05:20,1189.4050403943797,0.041128191399798356,True,2024-05-01,-7.555667706806084,none,9131.201415048085
2024-03-28,2024-04-14,2024-04-24,10,2,suite,group,business,False,14.082000409354396,['cancelled'],cash,3310.4512150895625,debit_card,motel,1,['parking'],17,April,,,,48,AND,5,0.5816107555070715,Sunday,21:50:39,12:35:24,1480.70772688809,0.03576426926863924,True,2024-05-15,-7.1507569081885745,moderate,3310.4512150895625
2024-03-29,2024-04-21,2024-05-01,10,2,suite,group,business,True,4.410290405080708,['checkout'],credit_card,10080.29875486865,cash,city hotel,1,['gym'],23,April,,,,22,TZA,5,8.455111352720195,Sunday,21:48:07,09:59:17,9166.801146166887,0.09233914977904155,False,2024-05-05,32.15460566431714,heavy,10080.29875486865
2024-03-31,2024-04-04,2024-04-09,5,1,double,individual,other,True,0.4810185306534942,['checkout'],credit_card,11693.202954779308,cash,city hotel,1,"['business center', 'restaurant']",4,April,2024-04-09,unforeseen circumstances,9.0,66,FJI,2,1.3978928420627887,Thursday,19:59:18,03:59:38,4131.8293729083,0.05935119537505649,True,2024-04-24,-9.417173792661332,none,11693.202954779308
2024-04-13,2024-04-29,2024-04-30,1,2,double,group,other,True,4.118912981184697,['checkout'],no_deposit,6844.654334126331,credit_card,motel,2,"['parking', 'parking']",16,April,,,,37,BHS,3,9.695244882060488,Monday,16:27:21,05:52:41,2326.139750080312,0.08631474700996186,False,2024-04-27,16.677727862526766,moderate,6844.654334126331
2024-03-27,2024-03-28,2024-04-05,8,1,double,individual,leisure,False,9.273766319639451,['cancelled'],credit_card,7720.048273196833,credit_card,motel,1,"['wifi', 'parking']",1,March,,,,22,AZE,5,4.774829783571572,Thursday,06:56:08,12:27:48,5881.220228073364,0.05641731255833524,True,2024-04-22,20.99304633176933,none,7720.048273196833
2024-04-10,2024-05-03,2024-05-11,8,3,single,corporate,business,False,12.382452995642092,['checkout'],credit_card,15104.25735235411,debit_card,motel,3,"['parking', 'parking']",23,May,2024-04-12,unforeseen circumstances,2.0,45,KEN,4,5.084671392721294,Friday,01:12:15,07:05:09,1683.7620957195768,0.08995216195538906,False,2024-05-04,34.010193688532986,light,15104.25735235411
2024-04-19,2024-05-09,2024-05-12,3,2,suite,corporate,business,False,6.126516495437477,['cancelled'],cash,2860.1504442889595,cash,city hotel,1,"['restaurant', 'restaurant']",20,May,,,,74,KNA,3,5.647040856703243,Thursday,10:41:05,21:26:54,5161.804643097572,0.030629467796063473,False,2024-04-23,-5.153799606244993,none,2860.1504442889595
2024-03-23,2024-04-06,2024-04-16,10,2,single,corporate,business,True,8.305757034735032,['cancelled'],credit_card,3558.8899293023715,cash,motel,2,"['wifi', 'wifi']",14,April,,,,80,PRY,2,5.056808331683499,Saturday,08:22:02,00:36:34,7263.80403964579,0.06890301372319205,False,2024-04-27,13.9270107000569,heavy,3558.8899293023715
2024-04-15,2024-05-13,2024-05-20,7,1,suite,group,business,False,12.052445536981878,['cancelled'],credit_card,8890.828657405624,debit_card,motel,1,"['wifi', 'wifi']",28,May,,,,33,ZMB,4,2.5018016110312904,Monday,00:06:26,23:01:37,3743.6025981449443,0.08624898800704096,True,2024-04-29,20.8352754830957,heavy,8890.828657405624
2024-04-15,2024-04-20,2024-04-27,7,4,single,group,business,True,6.273539292374705,['checkout'],cash,1268.1061250512257,cash,city hotel,4,['gym'],5,April,,,,72,LUX,1,0.20006944995422976,Saturday,19:47:44,16:39:57,4298.438888493578,0.09355488294697056,False,2024-05-05,1.9289391996504008,moderate,1268.1061250512257
2024-03-27,2024-04-07,2024-04-12,5,3,suite,individual,other,False,17.183025965862818,['checkout'],credit_card,2148.9638364182074,credit_card,city hotel,1,"['business center', 'restaurant', 'restaurant']",11,April,,,,34,CPV,5,4.8279192399464375,Sunday,01:42:02,18:17:10,3830.6776589997235,0.08778270866187354,True,2024-05-02,-7.483282170092163,none,2148.9638364182074
2024-04-18,2024-05-04,2024-05-11,7,2,double,corporate,business,True,16.604316527565768,['checkout'],no_deposit,11742.684334388474,credit_card,city hotel,2,['gym'],16,May,,,,69,PRK,5,0.3315697975107427,Saturday,23:39:30,01:02:41,7245.229491373348,0.012371892080722478,True,2024-05-21,25.63312263677983,moderate,11742.684334388474
2024-04-07,2024-05-05,2024-05-06,1,4,double,corporate,business,True,9.416222581163742,['checkout'],cash,10292.577320549635,debit_card,city hotel,4,['business center'],28,May,2024-04-11,unforeseen circumstances,4.0,62,VUT,2,4.310383591347956,Sunday,07:21:37,19:36:43,6849.456755348291,0.016123956622160353,False,2024-04-22,41.2218142119509,moderate,10292.577320549635
2024-04-12,2024-05-05,2024-05-14,9,4,double,corporate,business,True,14.162200421593699,['cancelled'],credit_card,6055.257817935605,cash,city hotel,4,['business center'],23,May,2024-04-18,unforeseen circumstances,6.0,29,CUB,5,9.605575028155943,Sunday,00:00:51,09:46:15,6032.5745533914105,0.05507073829310092,False,2024-05-15,13.112080455324193,moderate,6055.257817935605
2024-04-13,2024-05-06,2024-05-09,3,2,suite,group,business,False,11.702447837446071,['cancelled'],cash,4314.695747552185,cash,resort,1,['kids club'],23,May,,,,46,CAF,4,4.497791285258841,Monday,17:56:36,03:21:38,8550.331245350319,0.08033746446697851,True,2024-05-19,22.501234953453874,light,4314.695747552185
2024-04-08,2024-04-11,2024-04-18,7,3,suite,corporate,business,False,0.3881545429539046,['cancelled'],no_deposit,6140.344207232783,credit_card,city hotel,1,['business center'],3,April,2024-04-12,change of plans,4.0,77,BDI,3,0.8334683653260855,Thursday,06:57:51,12:05:35,4072.76187671631,0.01186966834773398,True,2024-05-21,-6.204440434837866,light,6140.344207232783
2024-03-31,2024-04-06,2024-04-08,2,1,double,individual,business,False,11.453867231172733,['cancelled'],credit_card,19595.826842655595,credit_card,city hotel,1,"['business center', 'business center', 'gym']",6,April,,,,36,SLE,4,0.8701814105896533,Saturday,17:57:59,05:04:43,9967.012668665686,0.07075415331568004,True,2024-05-11,16.80276283592887,none,19595.826842655595
2024-03-29,2024-03-31,2024-04-02,2,2,double,corporate,business,False,2.9945801560238205,['checkout'],no_deposit,12173.854980080703,debit_card,resort,2,"['kids club', 'spa', 'restaurant']",2,March,,,,46,PAN,3,0.3407023259355442,Sunday,06:37:46,08:18:19,3449.7473337368056,0.02933960474416638,True,2024-05-16,31.142383910470173,none,12173.854980080703
2024-04-12,2024-05-08,2024-05-13,5,4,double,corporate,business,False,17.592290386102036,['cancelled'],credit_card,17708.15527879213,cash,city hotel,4,"['restaurant', 'business center', 'restaurant']",26,May,,,,72,CPV,4,9.641028467113436,Wednesday,01:12:06,01:47:40,4777.589963074621,0.029945794321245278,False,2024-05-11,21.523439279568244,moderate,17708.15527879213
2024-03-25,2024-04-15,2024-04-19,4,4,double,corporate,business,False,4.664903818766271,['checkout'],cash,1355.2434389384018,credit_card,motel,4,['wifi'],21,April,,,,71,EGY,3,0.8093504384996033,Monday,01:32:08,20:52:20,1518.0646099984117,0.053996427868599664,False,2024-05-19,6.9674682422070084,moderate,1355.2434389384018
2024-04-04,2024-04-11,2024-04-15,4,1,double,individual,other,False,18.019190136597352,['checkout'],credit_card,10698.250611571439,cash,city hotel,1,"['gym', 'restaurant', 'business center']",7,April,,,,74,LTU,4,5.790208501525465,Thursday,21:43:51,08:31:26,1122.1250690461584,0.012356103385051437,False,2024-04-25,-2.7832197665733274,light,10698.250611571439
2024-04-15,2024-04-17,2024-04-23,6,2,suite,group,leisure,False,2.351629582621939,['checkout'],credit_card,14377.899619174439,credit_card,motel,1,"['parking', 'wifi']",2,April,,,,55,PER,3,0.10248105680195102,Wednesday,05:03:25,04:19:21,3022.8793362594306,0.07369259818191616,True,2024-05-07,46.875868171670334,heavy,14377.899619174439
2024-04-08,2024-04-13,2024-04-16,3,3,double,individual,other,False,9.822862060298904,['checkout'],no_deposit,8008.361561720015,credit_card,resort,3,"['restaurant', 'spa']",5,April,,,,54,ETH,5,9.445992853438488,Saturday,07:19:48,07:59:55,2276.356226186662,0.07377067208395849,True,2024-05-11,16.79973943673355,light,8008.361561720015
